K,n_runs,n_finished_at_K,top1_in_top33pct@K,top3_in_top33pct@K,top1_in_top50pct@K,top3_in_top50pct@K,top1_in_top67pct@K,top3_in_top67pct@K,spearman,project,group,n_runs_total
20,40,9,1,2,1,3,1,3,0.9673545966228894,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise001_top3nd_init15_autodim__lc_obsnoisescale_sweep,40
30,40,4,1,3,1,3,1,3,0.9915572232645404,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise001_top3nd_init15_autodim__lc_obsnoisescale_sweep,40
50,40,1,1,3,1,3,1,3,1.0,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise001_top3nd_init15_autodim__lc_obsnoisescale_sweep,40
5,27,20,0,2,0,2,0,2,0.5177045177045178,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_uniformLC_p30_obsnoise001_nd60_init15_autodim_lc1em4__validation_3x3x3_sweep,27
10,27,16,0,1,0,1,0,1,0.40048840048840045,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_uniformLC_p30_obsnoise001_nd60_init15_autodim_lc1em4__validation_3x3x3_sweep,27
15,27,17,1,2,1,2,1,2,0.6727716727716728,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_uniformLC_p30_obsnoise001_nd60_init15_autodim_lc1em4__validation_3x3x3_sweep,27
20,27,13,1,2,1,3,1,3,0.8058608058608058,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_uniformLC_p30_obsnoise001_nd60_init15_autodim_lc1em4__validation_3x3x3_sweep,27
30,27,11,1,2,1,3,1,3,0.8638583638583639,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_uniformLC_p30_obsnoise001_nd60_init15_autodim_lc1em4__validation_3x3x3_sweep,27
50,27,9,1,3,1,3,1,3,0.989010989010989,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_uniformLC_p30_obsnoise001_nd60_init15_autodim_lc1em4__validation_3x3x3_sweep,27
5,27,17,1,2,1,3,1,3,0.9133089133089132,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_uniformLC_p30_obsnoise005_nd45_init15_autodim_lc1em4__validation_3x3x3_sweep,27
10,27,14,1,3,1,3,1,3,0.9407814407814408,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_uniformLC_p30_obsnoise005_nd45_init15_autodim_lc1em4__validation_3x3x3_sweep,27
15,27,13,1,3,1,3,1,3,0.9542124542124542,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_uniformLC_p30_obsnoise005_nd45_init15_autodim_lc1em4__validation_3x3x3_sweep,27
20,27,12,1,3,1,3,1,3,0.9584859584859584,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_uniformLC_p30_obsnoise005_nd45_init15_autodim_lc1em4__validation_3x3x3_sweep,27
30,27,5,1,2,1,3,1,3,0.9633699633699633,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_uniformLC_p30_obsnoise005_nd45_init15_autodim_lc1em4__validation_3x3x3_sweep,27
50,27,3,1,3,1,3,1,3,0.996947496947497,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_uniformLC_p30_obsnoise005_nd45_init15_autodim_lc1em4__validation_3x3x3_sweep,27
5,13,12,0,1,0,1,1,2,0.35714285714285715,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise005_top3nd_init15_autodim__lc_obsnoisescale_sweep,36
10,13,8,1,2,1,3,1,3,0.7307692307692307,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise005_top3nd_init15_autodim__lc_obsnoisescale_sweep,36
15,13,6,1,3,1,3,1,3,0.8956043956043955,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise005_top3nd_init15_autodim__lc_obsnoisescale_sweep,36
20,13,6,1,3,1,3,1,3,0.9615384615384615,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise005_top3nd_init15_autodim__lc_obsnoisescale_sweep,36
30,13,6,1,3,1,3,1,3,0.9615384615384615,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise005_top3nd_init15_autodim__lc_obsnoisescale_sweep,36
